lat,lng,alt,snr
-34.0477,18.6528,3254.2,29.7
-34.0478,18.6529,3257.8,29.7
-34.0479,18.6531,3261.9,29.6
-34.048,18.6532,3266.5,31.3
-34.0481,18.6533,3270,31.3
-34.0482,18.6535,3273.9,30.2
-34.0483,18.6536,3277.1,29.3
-34.0484,18.6538,3280.5,28.5
-34.0485,18.6539,3284.6,29.9
-34.0486,18.6541,3288.7,30.1
-34.0488,18.6542,3293.2,30.1
-34.0489,18.6543,3297.8,30.1
-34.049,18.6545,3302.2,29.4
-34.049,18.6546,3305.8,28.1
-34.0491,18.6547,3310,28.1
-34.0492,18.6548,3313.5,28.1
-34.0493,18.655,3316.6,29.3
-34.0494,18.6551,3320.3,29.8
-34.0496,18.6552,3324.1,30.2
-34.0497,18.6553,3327.5,31.2
-34.0497,18.6555,3331.2,31.2
-34.0498,18.6556,3335,31.1
-34.0499,18.6558,3339.3,29
-34.05,18.6559,3343.3,28.2
-34.0501,18.6561,3346.7,29.2
-34.0502,18.6562,3350.6,30.6
-34.0503,18.6563,3354.9,30.6
-34.0504,18.6565,3360,27.8
-34.0505,18.6566,3364.2,29.1
-34.0506,18.6568,3368.5,29.6
-34.0507,18.6569,3373.5,29.6
-34.0508,18.657,3378.4,29.8
-34.0509,18.6572,3383.3,29.8
-34.051,18.6573,3387.9,29.4
-34.051,18.6575,3392.3,29.4
-34.0511,18.6576,3396.1,29.2
-34.0512,18.6577,3400.1,29.2
-34.0513,18.6579,3403.5,28
-34.0513,18.658,3407.4,28
-34.0514,18.6581,3411.9,27.7
-34.0515,18.6582,3415.9,30.6
-34.0516,18.6583,3420.4,31.6
-34.0517,18.6585,3424.9,31.6
-34.0518,18.6586,3428.2,29.8
-34.0519,18.6588,3432.1,29
-34.052,18.6589,3435.8,29.8
-34.052,18.659,3439.6,29.8
-34.0521,18.6591,3443,28.6
-34.0522,18.6592,3447.1,28
-34.0523,18.6593,3450.3,30.5
-34.0524,18.6595,3453.7,30.5
-34.0524,18.6596,3456.8,30
-34.0525,18.6597,3460.9,29.2
